id,theme,scenario_id,scenario_text,question_number,question,option_a,option_b,option_c,option_d,correct_answer,feedback_correct,feedback_incorrect
11,Neurologie,NEU001,"M. Gendron, 66 ans, faiblesse hémicorporelle droite et dysarthrie depuis 70 minutes. TA 174/98, gly 6,2 mmol/L. Anticoagulants : aucun.",2,Message clé à la famille ?,Le temps n’est pas un facteur,Chaque minute compte pour le cerveau,Attendre 24 h n’est pas risqué,On verra selon la disponibilité,B,Correct! « Time is brain ».,Revoir : Urgence de la prise en charge en AVC.
12,Neurologie,NEU001,"M. Gendron, 66 ans, faiblesse hémicorporelle droite et dysarthrie depuis 70 minutes. TA 174/98, gly 6,2 mmol/L. Anticoagulants : aucun.",3,De quel effet indésirable doit-on s’assurer avant thrombolyse ?,Hypoglycémie sévère,Hémorragie intracrânienne,Douleur chronique,Insomnie,B,Correct! Une hémorragie intracrânienne est une contre-indication.,Revoir : Contre-indications de la thrombolyse.
13,Respiratoire,RES001,"Mme Lavoie, 68 ans, MPOC stade III, dyspnée au repos, FR 28/min, SpO₂ 85% sous O₂ 2 L/min, TA 95/60, FC 112. Rx: salbutamol inh PRN, prednisone PO.",1,Intervention infirmière prioritaire ?,Augmenter immédiatement l’O₂ à 10 L/min,Oxygène titré et surveillance SpO₂/FR,Jeûne strict,Morphine IV,B,Correct! O₂ titré et surveillance évitent la rétention de CO₂.,Revoir : Stratégies d’oxygénation chez MPOC.
14,Respiratoire,RES001,"Mme Lavoie, 68 ans, MPOC stade III, dyspnée au repos, FR 28/min, SpO₂ 85% sous O₂ 2 L/min, TA 95/60, FC 112. Rx: salbutamol inh PRN, prednisone PO.",2,Éducation courte utile ?,Arrêter les bronchodilatateurs,Expiration lèvres pincées,Exercices intenses,Boire >4 L/jour,B,Correct! L’expiration lèvres pincées améliore la ventilation.,Revoir : Techniques respiratoires MPOC.
15,Respiratoire,RES001,"Mme Lavoie, 68 ans, MPOC stade III, dyspnée au repos, FR 28/min, SpO₂ 85% sous O₂ 2 L/min, TA 95/60, FC 112. Rx: salbutamol inh PRN, prednisone PO.",3,"Salbutamol nébulisé 2,5 mg/dose dans 3 mL. Combien de mL préparer ?","1,5 mL","2,5 mL",3 mL,5 mL,C,"Correct! L’ampoule fournit 2,5 mg en 3 mL.",Revoir : Préparation des nébulisations.
16,Pédiatrie,PED001,"Garçon 5 ans, crise d’asthme : FR 36/min, tirage, sibilances, SpO₂ 89% AA. Traitement à domicile : salbutamol PRN.",1,Action prioritaire ?,Administrer salbutamol prescrit via chambre d’inhalation,Installer perfusion IV,Prendre TA d’abord,Sonde nasogastrique,A,Correct! Le bronchodilatateur rapide est prioritaire.,Revoir : Prise en charge d’une exacerbation d’asthme pédiatrique.
17,Pédiatrie,PED001,"Garçon 5 ans, crise d’asthme : FR 36/min, tirage, sibilances, SpO₂ 89% AA. Traitement à domicile : salbutamol PRN.",2,Signe d’aggravation urgente ?,Utilisation des muscles accessoires,Toux productive,"Fièvre 38,2 °C",Appétit diminué,A,Correct! Indique une détresse respiratoire sévère.,Revoir : Signes de gravité en asthme.
18,Pédiatrie,PED001,"Garçon 5 ans, crise d’asthme : FR 36/min, tirage, sibilances, SpO₂ 89% AA. Traitement à domicile : salbutamol PRN.",3,"Dose salbutamol 0,1 mg/kg par nébulisation; poids 18 kg. Dose totale ?","1,8 mg","2,5 mg","0,8 mg","3,6 mg",A,"Correct! 0,1 × 18 = 1,8 mg.",Revoir : Calculs de doses pédiatriques en mg/kg.
19,Pédiatrie,PED002,"Nourrisson 10 kg, gastroentérite aiguë 24 h, muqueuses sèches, fontanelle légèrement déprimée, perte de poids estimée 5%.",1,Degré de déshydratation probable ?,Légère (<3%),Modérée (3–9%),Sévère (>10%),Impossible de conclure,B,Correct! Signes + perte de 5 % → déshydratation modérée.,Revoir : Évaluation déshydratation pédiatrique.
20,Pédiatrie,PED002,"Nourrisson 10 kg, gastroentérite aiguë 24 h, muqueuses sèches, fontanelle légèrement déprimée, perte de poids estimée 5%.",2,Plan SRO 75 mL/kg/4 h : quel débit horaire ?,95 mL/h,150 mL/h,188 mL/h,225 mL/h,C,"Correct! 75×10=750 mL/4 h → 187,5 ≈ 188 mL/h.",Revoir : SRO et calculs de débit.
21,Pédiatrie,PED002,"Nourrisson 10 kg, gastroentérite aiguë 24 h, muqueuses sèches, fontanelle légèrement déprimée, perte de poids estimée 5%.",3,Conseil aux parents pendant la réhydratation ?,Arrêt des apports 12 h,Petits volumes fréquents,Donner du jus à volonté,Aucun suivi nécessaire,B,Correct! Fractionner les apports diminue le risque de vomissements.,Revoir : Éducation parentale – gastro pédiatrique.
22,Périnatalité,PER001,"Mme Caron, 30 ans, 1 h post-accouchement vaginal, saignements abondants, utérus mou, TA 88/50, FC 124. Ordonnance : ocytocine 20 UI/1000 mL à 120 mUI/min.",1,Intervention immédiate prioritaire ?,Massage du fond utérin,Antalgique PO,Observation,Sonde gastrique,A,Correct! L’atonie utérine se traite d’abord par massage.,Revoir : HPP et atonie – interventions initiales.
23,Périnatalité,PER001,"Mme Caron, 30 ans, 1 h post-accouchement vaginal, saignements abondants, utérus mou, TA 88/50, FC 124. Ordonnance : ocytocine 20 UI/1000 mL à 120 mUI/min.",2,Calculez le débit d’ocytocine (mL/h).,36 mL/h,120 mL/h,240 mL/h,360 mL/h,D,Correct! 20 000 mUI/1000 mL → 20 mUI/mL ; 120/20=6 mL/min = 360 mL/h.,Revoir : Conversion UI ↔ mUI et mL/h.
24,Périnatalité,PER001,"Mme Caron, 30 ans, 1 h post-accouchement vaginal, saignements abondants, utérus mou, TA 88/50, FC 124. Ordonnance : ocytocine 20 UI/1000 mL à 120 mUI/min.",3,Quel signe suggère une amélioration ?,"Utérus tonique, saignements diminuent",TA 70/40,FC 140/min,Lipothymie persistante,A,Correct! La tonicité utérine et la réduction des pertes sont rassurantes.,Revoir : Suivi clinique dans l’HPP.
25,Périnatalité,PER002,"Mme B., 34 SA, céphalées, phosphènes, TA 168/110, protéinurie +. Prescription : MgSO₄ 4 g/20 min puis 1 g/h.",1,Complication à prévenir en priorité ?,Hémorragie digestive,Éclampsie (convulsions),TVP,Hypoglycémie,B,Correct! Prévenir l’éclampsie est prioritaire.,Revoir : Prééclampsie/éclampsie – prévention.
26,Périnatalité,PER002,"Mme B., 34 SA, céphalées, phosphènes, TA 168/110, protéinurie +. Prescription : MgSO₄ 4 g/20 min puis 1 g/h.",2,MgSO₄ 20% (200 mg/mL) pour bolus 4 g/20 min. Débit mL/h ?,20 mL/h,40 mL/h,60 mL/h,120 mL/h,C,Correct! 4000/200=20 mL; 20/20 min = 1 mL/min = 60 mL/h.,Revoir : Calculs MgSO₄.
27,Périnatalité,PER002,"Mme B., 34 SA, céphalées, phosphènes, TA 168/110, protéinurie +. Prescription : MgSO₄ 4 g/20 min puis 1 g/h.",3,Surveillance prioritaire sous MgSO₄ ?,"Diurèse, ROT, FR",Glycémie,Température,Poids,A,Correct! Dépression respiratoire et toxicité requièrent ROT/FR/diurèse.,Revoir : Toxicité au MgSO₄ et antidote (gluconate Ca²⁺).
28,Urgences / Soins critiques,URG001,"Mme D., 64 ans, fièvre 39,2 °C, TA 86/54, FC 122, FR 26, lactate 4,2 mmol/L, confusion. Suspicion sepsis pulmonaire.",1,Intervention dans la première heure ?,Antibiothérapie IV à large spectre,Attendre cultures,Antipyrétique seul,Perfusion lente,A,Correct! L’antibiothérapie IV rapide réduit la mortalité.,Revoir : Sepsis – « golden hour ».
29,Urgences / Soins critiques,URG001,"Mme D., 64 ans, fièvre 39,2 °C, TA 86/54, FC 122, FR 26, lactate 4,2 mmol/L, confusion. Suspicion sepsis pulmonaire.",2,Bolus cristalloïdes recommandé (70 kg) ?,350 mL,1000 mL,2100 mL,5000 mL,C,Correct! 30 mL/kg ≈ 2100 mL.,Revoir : Réanimation volémique du sepsis.
30,Urgences / Soins critiques,URG001,"Mme D., 64 ans, fièvre 39,2 °C, TA 86/54, FC 122, FR 26, lactate 4,2 mmol/L, confusion. Suspicion sepsis pulmonaire.",3,"Noradrénaline 0,15 mcg/kg/min (70 kg). Préparation 4 mg/50 mL (80 mcg/mL). Débit mL/h ?","5,0 mL/h","7,9 mL/h","11,3 mL/h","1,3 mL/h",B,"Correct! 0,15×70=10,5 mcg/min; ×60=630 mcg/h; 630/80 ≈ 7,9 mL/h.",Revoir : Conversion mcg/kg/min → mL/h.
31,Urgences / Soins critiques,URG002,"M. R., 23 ans, DT1, nausées, FR 28, haleine acétonique, glycémie 26 mmol/L, cétonurie +++, déshydratation.",1,Mesure initiale prioritaire ?,"Réhydratation IV NaCl 0,9 %",Insuline bolus immédiat sans bilan,Restriction hydrique,Glucides PO,A,Correct! Hydratation prioritaire dans la DKA.,Revoir : DKA – priorités thérapeutiques.
32,Urgences / Soins critiques,URG002,"M. R., 23 ans, DT1, nausées, FR 28, haleine acétonique, glycémie 26 mmol/L, cétonurie +++, déshydratation.",2,Insuline IV à 6 U/h avec solution 1 U/mL. Débit mL/h ?,6 mL/h,"0,6 mL/h",60 mL/h,1 mL/h,A,Correct! 6 ÷ 1 = 6 mL/h.,Revoir : Perfusion d’insuline – calculs.
33,Urgences / Soins critiques,URG002,"M. R., 23 ans, DT1, nausées, FR 28, haleine acétonique, glycémie 26 mmol/L, cétonurie +++, déshydratation.",3,Quel signe indique l’amélioration ?,FR 30/min,Disparition cétonurie et amélioration conscience,TA 90/60,Glycémie 20 mmol/L,B,Correct! Normalisation neuro et cétones.,Revoir : Paramètres de suivi DKA.
34,Gériatrie,GER001,"Mme Tremblay, 82 ans, hospitalisée pour pneumonie, devient confuse et agitée soudainement. ATCD: HTA, polymédication.",1,Diagnostic le plus probable ?,Maladie d’Alzheimer,AVC,Délirium aigu,Dépression,C,Correct! Début soudain en contexte aigu.,Revoir : Délirium vs démence.
35,Gériatrie,GER001,"Mme Tremblay, 82 ans, hospitalisée pour pneumonie, devient confuse et agitée soudainement. ATCD: HTA, polymédication.",2,Intervention prioritaire ?,Anxiolytique d’emblée,Réorienter et sécuriser l’environnement,Contention systématique,Isolement complet,B,Correct! Approche non pharmacologique d’abord.,Revoir : Interventions infirmières dans le délirium.
36,Gériatrie,GER001,"Mme Tremblay, 82 ans, hospitalisée pour pneumonie, devient confuse et agitée soudainement. ATCD: HTA, polymédication.",3,Facteur contributif fréquent à rechercher ?,Consommation caféine,Médicaments anticholinergiques/opioïdes,Nombre d’enfants,Antécédent d’allergies saisonnières,B,Correct! Médicaments déclenchent souvent un délirium.,Revoir : Iatrogénie médicamenteuse gériatrique.
37,Gériatrie,GER002,"Mme Arsenault, 92 ans, alitée, IMC 17, incontinence; rougeur sacrée persistante (stade 1).",1,Prévention prioritaire ?,Massage vigoureux,Changement de position q2h,Restriction hydrique,Alcool sur la peau,B,Correct! Le repositionnement réduit la pression.,Revoir : Prévention des plaies de pression.
38,Gériatrie,GER002,"Mme Arsenault, 92 ans, alitée, IMC 17, incontinence; rougeur sacrée persistante (stade 1).",2,Outil d’évaluation du risque ?,EVA,Échelle de Braden,CHA₂DS₂-VASc,MMSE,B,Correct! Braden évalue le risque d’escarres.,Revoir : Outils de dépistage des plaies de pression.
39,Gériatrie,GER002,"Mme Arsenault, 92 ans, alitée, IMC 17, incontinence; rougeur sacrée persistante (stade 1).",3,Nutrition : quel apport est important ?,Protéines suffisantes,Sucres simples,Restriction hydrique,Zéro lipides,A,Correct! Un bon apport protéique favorise la cicatrisation.,Revoir : Nutrition et cicatrisation.
40,Santé mentale,PSY001,"M. Dubé, 28 ans, idées suicidaires avec plan concret et accès aux moyens. Ambivalent, coopérant.",1,Intervention prioritaire ?,Le laisser seul pour réfléchir,Surveillance constante et sécurisation,Informer la famille sans consentement,Donner un somnifère,B,Correct! Priorité à la sécurité.,Revoir : Mesures immédiates en risque suicidaire.
41,Santé mentale,PSY001,"M. Dubé, 28 ans, idées suicidaires avec plan concret et accès aux moyens. Ambivalent, coopérant.",2,Aspects légaux au Québec ?,Ignorer s’il nie le risque,Tout partager aux proches,Appliquer protocoles de sécurité et documenter,Menacer d’hospitalisation punitive,C,Correct! Documentation et protocoles requis.,"Revoir : Cadre légal, consentement et sécurité."
42,Santé mentale,PSY001,"M. Dubé, 28 ans, idées suicidaires avec plan concret et accès aux moyens. Ambivalent, coopérant.",3,Élément de relation thérapeutique clé ?,Attitude jugeante,Écoute empathique,Minimiser ses propos,Éviter le sujet,B,Correct! L’écoute empathique favorise l’alliance.,Revoir : Communication thérapeutique.
43,Santé mentale,PSY002,"M. T., 45 ans, tremblements, agitation, TA 160/96, sueurs 12 h après le dernier verre.",1,Outil de surveillance ?,Glasgow,CIWA-Ar,APGAR,Braden,B,Correct! CIWA-Ar pour sevrage alcoolique.,Revoir : Échelles de sevrage alcoolique.
44,Santé mentale,PSY002,"M. T., 45 ans, tremblements, agitation, TA 160/96, sueurs 12 h après le dernier verre.",2,Vitamine prioritaire à administrer ?,Vitamine C,Thiamine (B1),Vitamine D,Vitamine K,B,Correct! Prévention de l’encéphalopathie de Wernicke.,Revoir : B1 et complications neurologiques.
45,Santé mentale,PSY002,"M. T., 45 ans, tremblements, agitation, TA 160/96, sueurs 12 h après le dernier verre.",3,Signe de gravité nécessitant avis médical rapide ?,Larmoiement,Frissons,Crises convulsives,Rhinorrhée,C,Correct! Risque de delirium tremens.,Revoir : Complications du sevrage.
46,Santé communautaire / Santé publique,COM001,"Adolescent 16 ans, partenaires multiples, rapports non protégés; demande de dépistage ITSS. Asymptomatique.",1,Intervention la plus complète ?,Dépistage uniquement,Éducation + dépistage + condoms,Remettre une brochure,Reporter si asymptomatique,B,Correct! Approche intégrée prévention/dépistage.,Revoir : Prévention ITSS en clinique jeunesse.
47,Santé communautaire / Santé publique,COM001,"Adolescent 16 ans, partenaires multiples, rapports non protégés; demande de dépistage ITSS. Asymptomatique.",2,Confidentialité au Québec ?,Informer les parents automatiquement,Refuser soins,Respecter la confidentialité,Publier résultats,C,Correct! Confidentialité en santé sexuelle.,Revoir : Confidentialité/consentement mineurs (Québec).
48,Santé communautaire / Santé publique,COM001,"Adolescent 16 ans, partenaires multiples, rapports non protégés; demande de dépistage ITSS. Asymptomatique.",3,Vaccination pertinente à vérifier ?,BCG,Rougeole seule,VPH,Rage,C,Correct! Vaccin VPH recommandé à l’adolescence.,Revoir : Calendrier vaccinal VPH.
49,Chirurgie,SUR001,"Mme S., 44 ans, J1 post-op cholécystectomie laparoscopique, douleur 6/10, nausées. TA 128/74, FC 92, T 37,8 °C. Drain CH.",1,Surveillance prioritaire ?,Drain biliaire : quantité/couleur,Température horaire,Apports PO à volonté,Levée immédiate seule,A,Correct! Surveiller le drain pour complication biliaire.,Revoir : Soins post-op digestifs.
50,Chirurgie,SUR001,"Mme S., 44 ans, J1 post-op cholécystectomie laparoscopique, douleur 6/10, nausées. TA 128/74, FC 92, T 37,8 °C. Drain CH.",2,"Hydromorphone 1 mg IV, ampoule 2 mg/mL. Volume à administrer ?","0,25 mL","0,5 mL",1 mL,2 mL,B,"Correct! 1 ÷ 2 = 0,5 mL.",Revoir : Calcul de volumes pour opioïdes IV.
51,Chirurgie,SUR001,"Mme S., 44 ans, J1 post-op cholécystectomie laparoscopique, douleur 6/10, nausées. TA 128/74, FC 92, T 37,8 °C. Drain CH.",3,Signe nécessitant avis médical rapide ?,Douleur 4/10,Saignement léger sur pansement,Ictère et douleurs croissantes,Appétit diminué,C,Correct! Ictère + douleurs → obstruction/complication.,Revoir : Complications biliaires post-op.
52,Oncologie,ONC001,"M. Picard, 62 ans, chimio récente. Fièvre 38,6 °C, frissons, TA 110/70, FC 108, FR 22. Numération : neutrophiles 0,3 ×10⁹/L.",1,Priorité infirmière ?,Administrer antipyrétique et observer,Isolement protecteur et avertir rapidement,Sortie de l’hôpital,Perfusion lente sans précaution,B,Correct! Neutropénie fébrile = urgence.,Revoir : Neutropénie fébrile – précautions et prise en charge.
53,Oncologie,ONC001,"M. Picard, 62 ans, chimio récente. Fièvre 38,6 °C, frissons, TA 110/70, FC 108, FR 22. Numération : neutrophiles 0,3 ×10⁹/L.",2,Mesure de prévention des infections à enseigner ?,Éviter fruits/légumes,Hygiène des mains rigoureuse,Isoler toutes les visites,Port de masque N95 à la maison,B,Correct! L’hygiène des mains est essentielle.,Revoir : Prévention des infections en neutropénie.
54,Oncologie,ONC001,"M. Picard, 62 ans, chimio récente. Fièvre 38,6 °C, frissons, TA 110/70, FC 108, FR 22. Numération : neutrophiles 0,3 ×10⁹/L.",3,Antibiothérapie : quand débuter idéalement ?,Dès les résultats de cultures,Dans l’heure suivant l’évaluation,Le lendemain,Après 24 h d’observation,B,Correct! Initiation rapide <1 h recommandée.,Revoir : Recommandations neutropénie fébrile.
55,Éthique et aspects légaux,ETH001,"Mme C., 16 ans, demande contraception sans informer ses parents; elle est orientée et comprend.",1,Conduite conforme ?,Exiger autorisation parentale,Refuser le service,Respecter la confidentialité et informer sur options,Appeler les parents,C,Correct! Confidentialité en santé sexuelle des mineures.,Revoir : Droits et confidentialité au Québec.
56,Éthique et aspects légaux,ETH001,"Mme C., 16 ans, demande contraception sans informer ses parents; elle est orientée et comprend.",2,Quel principe éthique soutient cette conduite ?,Bienfaisance,Justice,Autonomie,Non-malfaisance,C,Correct! Respect de l’autonomie décisionnelle.,Revoir : Principes bioéthiques appliqués.
57,Éthique et aspects légaux,ETH001,"Mme C., 16 ans, demande contraception sans informer ses parents; elle est orientée et comprend.",3,Documenter : élément essentiel ?,Opinions personnelles,Jugement moral,Faits cliniques et décision éclairée,Commentaires des proches,C,Correct! Documentation factuelle et éclairée.,Revoir : Tenue de dossier et éthique.
58,Urgences / Soins critiques,URG003,"Jeune adulte, collision haute vélocité, TA 82/48, peau froide, confusion. Suspicion hémorragie interne.",1,Priorité selon ABC ?,Évaluation neuro d’abord,Assurer voie aérienne et oxygénation,Bilan douleur,Repas,B,Correct! A-B-C d’abord.,Revoir : Algorithme ABC du trauma.
59,Urgences / Soins critiques,URG003,"Jeune adulte, collision haute vélocité, TA 82/48, peau froide, confusion. Suspicion hémorragie interne.",2,Organisation soins ?,Attendre le médecin,Activer code trauma et assigner rôles,Envoyer seul en imagerie,Confier à un seul intervenant,B,Correct! Coordination rapide nécessaire.,Revoir : Protocoles trauma en équipe.
60,Urgences / Soins critiques,URG003,"Jeune adulte, collision haute vélocité, TA 82/48, peau froide, confusion. Suspicion hémorragie interne.",3,Indicateur d’hypoperfusion ?,25 mL/h,35 mL/h,50 mL/h,75 mL/h,B,"Correct! 0,5 × 70 = 35 mL/h.",Revoir : Seuils de diurèse en choc/IRA.
61,Infectiologie,INF001,"Mme Girard, 48 ans, toux productive, fièvre 38,5 °C, FR 24/min, SpO₂ 91% AA. Rx Thorax: foyer alvéolaire lobaire.",1,Intervention prioritaire ?,Antibiothérapie selon protocole,Antitussif anticholinergique,Jeûne strict,Diurétiques,A,Correct! Antibiothérapie empirique rapidement.,Revoir : Pneumonie communautaire – prise en charge.
62,Infectiologie,INF001,"Mme Girard, 48 ans, toux productive, fièvre 38,5 °C, FR 24/min, SpO₂ 91% AA. Rx Thorax: foyer alvéolaire lobaire.",2,Surveillance ?,SpO₂ et FR,Périmètre abdominal,Glycémie capillaire,Score de Braden,A,Correct! Évaluer l’oxygénation.,Revoir : Paramètres respiratoires.
63,Infectiologie,INF001,"Mme Girard, 48 ans, toux productive, fièvre 38,5 °C, FR 24/min, SpO₂ 91% AA. Rx Thorax: foyer alvéolaire lobaire.",3,Éducation ?,Arrêter l’hydratation,"Sevrer tabac, hydratation, hygiène des mains",Éviter vaccins,Aérosols non prescrits,B,Correct! Prévention et rétablissement.,Revoir : Éducation pneumonie.
64,Soins palliatifs,PAL001,"M. Lapointe, 72 ans, cancer pulmonaire métastatique, dyspnée sévère et anxiété à domicile.",1,Intervention prioritaire ?,Bronchodilatateur,Morphine prescrite,Marche,Anxiolytique léger seul,B,Correct! Morphine diminue la perception de dyspnée.,Revoir : Dyspnée en soins palliatifs.
65,Soins palliatifs,PAL001,"M. Lapointe, 72 ans, cancer pulmonaire métastatique, dyspnée sévère et anxiété à domicile.",2,Explication à donner ?,La morphine aggrave la FR,La morphine réduit la sensation d’essoufflement,La morphine est uniquement antalgique,Jamais de morphine à domicile,B,Correct! Effet bénéfique sur la dyspnée.,Revoir : Opioïdes et dyspnée.
66,Soins palliatifs,PAL001,"M. Lapointe, 72 ans, cancer pulmonaire métastatique, dyspnée sévère et anxiété à domicile.",3,Intervention non pharmacologique utile ?,Ventilateur dirigé au visage,Isolement dans le noir,Restriction hydrique,Effort physique,A,Correct! L’air frais aide à la perception de la dyspnée.,Revoir : Mesures non pharmacologiques.
67,Médecine et chirurgie,MED001,"Mme Côté, 54 ans, fatigue, prise de poids, frilosité. TSH élevée, T4 libre basse.",1,Intervention éducative clé ?,Arrêter levothyroxine dès amélioration,Prendre levothyroxine le matin à jeun,Doubler dose si oubli,Prendre avec fer/calcium,B,Correct! Meilleure absorption à jeun.,Revoir : Éducation hypothyroïdie – levothyroxine.
68,Médecine et chirurgie,MED001,"Mme Côté, 54 ans, fatigue, prise de poids, frilosité. TSH élevée, T4 libre basse.",2,Signe de surdosage à surveiller ?,Bradycardie,"Insomnie, palpitations",Prise de poids,Frilosité accrue,B,Correct! Symptômes d’hyperthyroïdie.,Revoir : Surdosage en hormones thyroïdiennes.
69,Médecine et chirurgie,MED001,"Mme Côté, 54 ans, fatigue, prise de poids, frilosité. TSH élevée, T4 libre basse.",3,Temps avant réévaluation TSH ?,48 h,1 semaine,6–8 semaines,6 mois,C,Correct! Réévaluation après 6–8 semaines.,Revoir : Suivi biologique de l’hypothyroïdie.
70,Pédiatrie,PED003,"Nouveau-né 3 jours, ictère cutané conjonctival, allaité, prise de poids adéquate, TA stable, température normale.",1,Mesure initiale appropriée ?,Photothérapie immédiate systématique,Évaluer bilirubine sérique ou transcutanée,Arrêt de l’allaitement,Déshabiller et exposer au soleil direct,B,Correct! Mesurer bilirubine pour décider.,Revoir : Conduite devant un ictère néonatal.
71,Pédiatrie,PED003,"Nouveau-né 3 jours, ictère cutané conjonctival, allaité, prise de poids adéquate, TA stable, température normale.",2,Conseil aux parents ?,Espacer les tétées,Maintenir allaitement et surveillance,Donner eau sucrée,Aucun suivi nécessaire,B,Correct! Allaitement fréquent aide l’élimination.,Revoir : Éducation ictère néonatal.
72,Pédiatrie,PED003,"Nouveau-né 3 jours, ictère cutané conjonctival, allaité, prise de poids adéquate, TA stable, température normale.",3,Signe d’alerte nécessitant évaluation urgente ?,"Somnolence extrême, refus de s’alimenter",Selles jaunes,Cris brefs,Sommeil 2 h d’affilée,A,Correct! Risque d’encéphalopathie bilirubinique.,Revoir : Bilirubinémie et signes d’alarme.
