id,theme,scenario_id,scenario_text,question_number,question,option_a,option_b,option_c,option_d,correct_answer,feedback_correct,feedback_incorrect
11,Pédiatrie,PED001,"Garçon 5 ans, crise d’asthme : FR 36/min, tirage, sibilances, SpO₂ 89% AA. Traitement à domicile : salbutamol PRN. Signes vitaux : TA 92/60 mmHg, FC 140 bpm, FR 32/min, SpO2 95% à l’air ambiant, T° 38,2 °C. Résultats labo : CRP 65 mg/L, Leucocytes 16 x10^9/L. Ordonnances : Acétaminophène 15 mg/kg PO q6h PRN fièvre, Ceftriaxone IV.",2.0,Signe d’aggravation urgente ?,Utilisation des muscles accessoires,Toux productive,"Fièvre 38,2 °C",Appétit diminué,A,Correct! Indique une détresse respiratoire sévère.,"Crise d’asthme : bronchodilatateur à action rapide prioritaire, évaluer signes de gravité (tirage, FR ↑, SpO₂ ↓). Revoir : Asthme – prise en charge aiguë pédiatrique. Méthode : dose (mg/kg) × poids (kg) = mg totaux; si nécessaire, convertir en volume selon la concentration. Revoir : Signes de gravité en asthme."
12,Pédiatrie,PED001,"Garçon 5 ans, crise d’asthme : FR 36/min, tirage, sibilances, SpO₂ 89% AA. Traitement à domicile : salbutamol PRN. Signes vitaux : TA 92/60 mmHg, FC 140 bpm, FR 32/min, SpO2 95% à l’air ambiant, T° 38,2 °C. Résultats labo : CRP 65 mg/L, Leucocytes 16 x10^9/L. Ordonnances : Acétaminophène 15 mg/kg PO q6h PRN fièvre, Ceftriaxone IV.",3.0,"Dose salbutamol 0,1 mg/kg par nébulisation; poids 18 kg. Dose totale ?","1,8 mg","2,5 mg","0,8 mg","3,6 mg",A,"Correct! 0,1 × 18 = 1,8 mg.","Crise d’asthme : bronchodilatateur à action rapide prioritaire, évaluer signes de gravité (tirage, FR ↑, SpO₂ ↓). Revoir : Asthme – prise en charge aiguë pédiatrique. Méthode : dose (mg/kg) × poids (kg) = mg totaux; si nécessaire, convertir en volume selon la concentration. Revoir : Calculs de doses pédiatriques en mg/kg."
13,Périnatalité,PER001,"Mme Caron, 30 ans, 1 h post-accouchement vaginal, saignements abondants, utérus mou, TA 88/50, FC 124. Ordonnance : ocytocine 20 UI/1000 mL à 120 mUI/min.",1.0,Intervention immédiate prioritaire ?,Massage du fond utérin,Antalgique PO,Observation,Sonde gastrique,A,Correct! L’atonie utérine se traite d’abord par massage.,"Raisonner selon la sécurité du patient, les priorités ABC, et les protocoles du milieu. Identifier le problème principal, appliquer l’intervention recommandée et surveiller la réponse clinique. Revoir : lignes directrices du domaine concerné. Étapes générales : 1) convertir les unités; 2) appliquer la formule; 3) arrondir selon protocole; 4) vérifier la cohérence clinique. Revoir : HPP et atonie – interventions initiales."
14,Périnatalité,PER001,"Mme Caron, 30 ans, 1 h post-accouchement vaginal, saignements abondants, utérus mou, TA 88/50, FC 124. Ordonnance : ocytocine 20 UI/1000 mL à 120 mUI/min.",2.0,Calculez le débit d’ocytocine (mL/h).,36 mL/h,120 mL/h,240 mL/h,360 mL/h,D,Correct! 20 000 mUI/1000 mL → 20 mUI/mL ; 120/20=6 mL/min = 360 mL/h.,"Raisonner selon la sécurité du patient, les priorités ABC, et les protocoles du milieu. Identifier le problème principal, appliquer l’intervention recommandée et surveiller la réponse clinique. Revoir : lignes directrices du domaine concerné. Étapes générales : 1) convertir les unités; 2) appliquer la formule; 3) arrondir selon protocole; 4) vérifier la cohérence clinique. Revoir : Conversion UI ↔ mUI et mL/h."
15,Périnatalité,PER001,"Mme Caron, 30 ans, 1 h post-accouchement vaginal, saignements abondants, utérus mou, TA 88/50, FC 124. Ordonnance : ocytocine 20 UI/1000 mL à 120 mUI/min.",3.0,Quel signe suggère une amélioration ?,"Utérus tonique, saignements diminuent",TA 70/40,FC 140/min,Lipothymie persistante,A,Correct! La tonicité utérine et la réduction des pertes sont rassurantes.,"Raisonner selon la sécurité du patient, les priorités ABC, et les protocoles du milieu. Identifier le problème principal, appliquer l’intervention recommandée et surveiller la réponse clinique. Revoir : lignes directrices du domaine concerné. Étapes générales : 1) convertir les unités; 2) appliquer la formule; 3) arrondir selon protocole; 4) vérifier la cohérence clinique. Revoir : Suivi clinique dans l’HPP."
16,Médecine et chirurgie,MED005,"M. N., 62 ans, diabète mal contrôlé, ulcère plantaire infecté, HbA1c 9,2%. TA 128/76, T 38,2 °C.",1.0,Priorité de soins ?,Décharge (offloading) + soins de plaie + antibiothérapie,Marche intensive,Pansement sec uniquement,Automédication AINS,A,Correct! Approche combinée nécessaire.,"Raisonner selon la sécurité du patient, les priorités ABC, et les protocoles du milieu. Identifier le problème principal, appliquer l’intervention recommandée et surveiller la réponse clinique. Revoir : lignes directrices du domaine concerné. Revoir : Plaies du pied diabétique – prise en charge."
17,Santé communautaire / Santé publique,MED005,"M. N., 62 ans, diabète mal contrôlé, ulcère plantaire infecté, HbA1c 9,2%. TA 128/76, T 38,2 °C.",2.0,Éducation essentielle ?,Arrêter inspection des pieds,"Inspection quotidienne, chaussage adapté, contrôle glycémique",Alcool sur plaie,Baignades prolongées,B,Correct! Prévenir récidive et aggravation.,"Raisonner selon la sécurité du patient, les priorités ABC, et les protocoles du milieu. Identifier le problème principal, appliquer l’intervention recommandée et surveiller la réponse clinique. Revoir : lignes directrices du domaine concerné. Revoir : Prévention complications pied diabétique."
18,Éthique et aspects légaux,ETH003,"M. P., 52 ans, orienté dans le temps et l’espace, refuse une transfusion sanguine. Il comprend les risques.",1.0,Conduite conforme ?,Forcer le traitement,Respecter le refus et documenter consentement éclairé,Cacher l’information,Obtenir consentement de la famille,B,Correct! Respect de l’autonomie et documentation.,"Éthique et droit : respecter confidentialité, obtenir consentement libre et éclairé, divulguer incidents selon la procédure, documenter factuellement. Revoir : Code de déontologie et lois en vigueur. Étapes générales : 1) convertir les unités; 2) appliquer la formule; 3) arrondir selon protocole; 4) vérifier la cohérence clinique. Revoir : Consentement et refus de traitement (Québec)."
19,Communication et relation thérapeutique,ETH003,"M. P., 52 ans, orienté dans le temps et l’espace, refuse une transfusion sanguine. Il comprend les risques.",2.0,Approche recommandée ?,Attitude jugeante,Explorer valeurs/craintes et proposer alternatives,Menacer de poursuites,Éviter toute discussion,B,Correct! Communication centrée sur la personne.,"Raisonner selon la sécurité du patient, les priorités ABC, et les protocoles du milieu. Identifier le problème principal, appliquer l’intervention recommandée et surveiller la réponse clinique. Revoir : lignes directrices du domaine concerné. Étapes générales : 1) convertir les unités; 2) appliquer la formule; 3) arrondir selon protocole; 4) vérifier la cohérence clinique. Revoir : Alliance thérapeutique et décisions partagées."
20,Pédiatrie,PED004,"Nouveau-né 36 h, hypothermie 35,8 °C, léthargie, succion faible. Mère : rupture prématurée des membranes 28 h. Signes vitaux : TA 92/60 mmHg, FC 140 bpm, FR 32/min, SpO2 95% à l’air ambiant, T° 38,2 °C. Résultats labo : CRP 65 mg/L, Leucocytes 16 x10^9/L. Ordonnances : Acétaminophène 15 mg/kg PO q6h PRN fièvre, Ceftriaxone IV.",1.0,Conduite prioritaire ?,Attente et observation,Antibiothérapie IV empirique après prélèvements,Sortie à domicile,Dextrose PO seulement,B,Correct! Antibiothérapie rapide après prélèvements.,"Suspicion de sepsis néonatal : prélèvements puis antibiothérapie IV rapide; hypothermie/lethargie sont des signes d’alarme. Revoir : Sepsis néonatal – prise en charge initiale. Méthode : dose (mg/kg) × poids (kg) = mg totaux; si nécessaire, convertir en volume selon la concentration. Revoir : Suspicion de sepsis néonatal – prise en charge."
21,Pharmacologie / Calculs,PED004,"Nouveau-né 36 h, hypothermie 35,8 °C, léthargie, succion faible. Mère : rupture prématurée des membranes 28 h.",2.0,"Amikacine 15 mg/kg/dose. Poids 3,2 kg. Dose (mg) ?",24 mg,32 mg,48 mg,64 mg,C,"Correct! 15 × 3,2 = 48 mg.","Raisonner selon la sécurité du patient, les priorités ABC, et les protocoles du milieu. Identifier le problème principal, appliquer l’intervention recommandée et surveiller la réponse clinique. Revoir : lignes directrices du domaine concerné. Méthode : dose (mg/kg) × poids (kg) = mg totaux; si nécessaire, convertir en volume selon la concentration. Revoir : Calculs mg/kg en néonatalogie."
22,Soins palliatifs,PAL001,"M. Lapointe, 72 ans, cancer pulmonaire métastatique, dyspnée sévère et anxiété à domicile. Signes vitaux : TA 110/70 mmHg, FC 92 bpm, FR 20/min, SpO2 91% sous O2 2 L/min, T° 37,5 °C. Résultats labo : Créatinine 145 µmol/L, Sodium 131 mmol/L, Potassium 3,2 mmol/L. Ordonnances : Morphine 1 mg SC q4h PRN douleur, Halopéridol 0,5 mg q12h agitation.",1.0,Intervention prioritaire ?,Bronchodilatateur,Morphine prescrite,Marche,Anxiolytique léger seul,B,Correct! Morphine diminue la perception de dyspnée.,"Raisonner selon la sécurité du patient, les priorités ABC, et les protocoles du milieu. Identifier le problème principal, appliquer l’intervention recommandée et surveiller la réponse clinique. Revoir : lignes directrices du domaine concerné. Étapes générales : 1) convertir les unités; 2) appliquer la formule; 3) arrondir selon protocole; 4) vérifier la cohérence clinique. Revoir : Dyspnée en soins palliatifs."
23,Soins palliatifs,PAL001,"M. Lapointe, 72 ans, cancer pulmonaire métastatique, dyspnée sévère et anxiété à domicile. Signes vitaux : TA 110/70 mmHg, FC 92 bpm, FR 20/min, SpO2 91% sous O2 2 L/min, T° 37,5 °C. Résultats labo : Créatinine 145 µmol/L, Sodium 131 mmol/L, Potassium 3,2 mmol/L. Ordonnances : Morphine 1 mg SC q4h PRN douleur, Halopéridol 0,5 mg q12h agitation.",2.0,Explication à donner ?,La morphine aggrave la FR,La morphine réduit la sensation d’essoufflement,La morphine est uniquement antalgique,Jamais de morphine à domicile,B,Correct! Effet bénéfique sur la dyspnée.,"Raisonner selon la sécurité du patient, les priorités ABC, et les protocoles du milieu. Identifier le problème principal, appliquer l’intervention recommandée et surveiller la réponse clinique. Revoir : lignes directrices du domaine concerné. Étapes générales : 1) convertir les unités; 2) appliquer la formule; 3) arrondir selon protocole; 4) vérifier la cohérence clinique. Revoir : Opioïdes et dyspnée."
24,Soins palliatifs,PAL001,"M. Lapointe, 72 ans, cancer pulmonaire métastatique, dyspnée sévère et anxiété à domicile. Signes vitaux : TA 110/70 mmHg, FC 92 bpm, FR 20/min, SpO2 91% sous O2 2 L/min, T° 37,5 °C. Résultats labo : Créatinine 145 µmol/L, Sodium 131 mmol/L, Potassium 3,2 mmol/L. Ordonnances : Morphine 1 mg SC q4h PRN douleur, Halopéridol 0,5 mg q12h agitation.",3.0,Intervention non pharmacologique utile ?,Ventilateur dirigé au visage,Isolement dans le noir,Restriction hydrique,Effort physique,A,Correct! L’air frais aide à la perception de la dyspnée.,"Raisonner selon la sécurité du patient, les priorités ABC, et les protocoles du milieu. Identifier le problème principal, appliquer l’intervention recommandée et surveiller la réponse clinique. Revoir : lignes directrices du domaine concerné. Étapes générales : 1) convertir les unités; 2) appliquer la formule; 3) arrondir selon protocole; 4) vérifier la cohérence clinique. Revoir : Mesures non pharmacologiques."
25,Respiratoire,RES002,"Jeune homme, 22 ans, douleur thoracique latérale droite, dyspnée soudaine. SpO₂ 92% AA, MV diminué à droite, tympanisme. Fumeur.",1.0,Hypothèse la plus probable ?,Pneumonie,Infarctus du myocarde,Pneumothorax spontané,Embolie pulmonaire,C,Correct! Tableau typique de pneumothorax.,"Raisonner selon la sécurité du patient, les priorités ABC, et les protocoles du milieu. Identifier le problème principal, appliquer l’intervention recommandée et surveiller la réponse clinique. Revoir : lignes directrices du domaine concerné. Revoir : Sémiologie pneumothorax (MV ↓, tympanisme)."
26,Urgences / Soins critiques,RES002,"Jeune homme, 22 ans, douleur thoracique latérale droite, dyspnée soudaine. SpO₂ 92% AA, MV diminué à droite, tympanisme. Fumeur.",2.0,Surveillance prioritaire en attendant le geste médical ?,TA seulement,SpO₂ et signes de détresse,Poids,Périmètre abdominal,B,Correct! Risque d’aggravation respiratoire.,"Raisonner selon la sécurité du patient, les priorités ABC, et les protocoles du milieu. Identifier le problème principal, appliquer l’intervention recommandée et surveiller la réponse clinique. Revoir : lignes directrices du domaine concerné. Revoir : Surveillance respiratoire aiguë."
27,Communication et relation thérapeutique,RES002,"Jeune homme, 22 ans, douleur thoracique latérale droite, dyspnée soudaine. SpO₂ 92% AA, MV diminué à droite, tympanisme. Fumeur.",3.0,Éducation pertinente après prise en charge ?,Poursuivre tabac sans impact,Éviter vols/Plongée avant contrôle médical,Arrêt activité physique à vie,Aucune restriction,B,Correct! Éviter pression/altitude tant que non résolu.,"Raisonner selon la sécurité du patient, les priorités ABC, et les protocoles du milieu. Identifier le problème principal, appliquer l’intervention recommandée et surveiller la réponse clinique. Revoir : lignes directrices du domaine concerné. Revoir : Recommandations après pneumothorax."
28,Médecine et chirurgie,MED002,"M. Roy, 74 ans, vomissements, diarrhées 3 jours, TA 88/56, FC 116, diurèse 0,3 mL/kg/h.",1.0,Hypothèse la plus probable ?,IRA prérénale par hypovolémie,IRA postrénale,Glomérulonéphrite,Syndrome néphrotique,A,Correct! Déshydratation + oligurie.,"Raisonner selon la sécurité du patient, les priorités ABC, et les protocoles du milieu. Identifier le problème principal, appliquer l’intervention recommandée et surveiller la réponse clinique. Revoir : lignes directrices du domaine concerné. Étapes générales : 1) convertir les unités; 2) appliquer la formule; 3) arrondir selon protocole; 4) vérifier la cohérence clinique. Revoir : IRA prérénale – signes et prise en charge."
29,Médecine et chirurgie,MED002,"M. Roy, 74 ans, vomissements, diarrhées 3 jours, TA 88/56, FC 116, diurèse 0,3 mL/kg/h.",2.0,Intervention prioritaire ?,Diurétiques IV,"Remplissage NaCl 0,9 %",Restriction hydrique,AINS,B,Correct! Réanimation volémique.,"Raisonner selon la sécurité du patient, les priorités ABC, et les protocoles du milieu. Identifier le problème principal, appliquer l’intervention recommandée et surveiller la réponse clinique. Revoir : lignes directrices du domaine concerné. Étapes générales : 1) convertir les unités; 2) appliquer la formule; 3) arrondir selon protocole; 4) vérifier la cohérence clinique. Revoir : Hypovolémie et IRA."
30,Médecine et chirurgie,MED002,"M. Roy, 74 ans, vomissements, diarrhées 3 jours, TA 88/56, FC 116, diurèse 0,3 mL/kg/h.",3.0,"Calcul : poids 70 kg; diurèse souhaitée ≥0,5 mL/kg/h. Volume minimal/h ?",25 mL/h,35 mL/h,50 mL/h,75 mL/h,C,"Correct! 0,5 × 70 = 35 mL/h (Ajuster).","Raisonner selon la sécurité du patient, les priorités ABC, et les protocoles du milieu. Identifier le problème principal, appliquer l’intervention recommandée et surveiller la réponse clinique. Revoir : lignes directrices du domaine concerné. Étapes générales : 1) convertir les unités; 2) appliquer la formule; 3) arrondir selon protocole; 4) vérifier la cohérence clinique. Revoir : Seuils de diurèse en choc/IRA."
31,Médecine et chirurgie,MED001,"Mme Côté, 54 ans, fatigue, prise de poids, frilosité. TSH élevée, T4 libre basse.",1.0,Intervention éducative clé ?,Arrêter levothyroxine dès amélioration,Prendre levothyroxine le matin à jeun,Doubler dose si oubli,Prendre avec fer/calcium,B,Correct! Meilleure absorption à jeun.,"Raisonner selon la sécurité du patient, les priorités ABC, et les protocoles du milieu. Identifier le problème principal, appliquer l’intervention recommandée et surveiller la réponse clinique. Revoir : lignes directrices du domaine concerné. Revoir : Éducation hypothyroïdie – levothyroxine."
32,Médecine et chirurgie,MED001,"Mme Côté, 54 ans, fatigue, prise de poids, frilosité. TSH élevée, T4 libre basse.",2.0,Signe de surdosage à surveiller ?,Bradycardie,"Insomnie, palpitations",Prise de poids,Frilosité accrue,B,Correct! Symptômes d’hyperthyroïdie.,"Raisonner selon la sécurité du patient, les priorités ABC, et les protocoles du milieu. Identifier le problème principal, appliquer l’intervention recommandée et surveiller la réponse clinique. Revoir : lignes directrices du domaine concerné. Revoir : Surdosage en hormones thyroïdiennes."
33,Médecine et chirurgie,MED001,"Mme Côté, 54 ans, fatigue, prise de poids, frilosité. TSH élevée, T4 libre basse.",3.0,Temps avant réévaluation TSH ?,48 h,1 semaine,6–8 semaines,6 mois,C,Correct! Réévaluation après 6–8 semaines.,"Raisonner selon la sécurité du patient, les priorités ABC, et les protocoles du milieu. Identifier le problème principal, appliquer l’intervention recommandée et surveiller la réponse clinique. Revoir : lignes directrices du domaine concerné. Revoir : Suivi biologique de l’hypothyroïdie."
34,Chirurgie orthopédique,ORT001,"Mme Bouchard, 68 ans, post-op PTH gauche (J0). Douleur importante, pâleur, pied froid, pouls pédieux absent.",1.0,Intervention prioritaire ?,Analgesie d’abord,Aviser immédiatement le chirurgien,Glace uniquement,Surélever la jambe,B,Correct! Suspicion d’ischémie aiguë.,"Post-op orthopédie : surveillance neurovasculaire (couleur, température, pouls distaux). Ischémie aiguë = urgence chirurgicale. Revoir : Complications vasculaires post-orthopédie."
35,Chirurgie orthopédique,ORT001,"Mme Bouchard, 68 ans, post-op PTH gauche (J0). Douleur importante, pâleur, pied froid, pouls pédieux absent.",2.0,Donnée à documenter en priorité ?,Couleur et température du pied,Pansement,Score douleur seulement,Température centrale,A,Correct! Perfusion distale.,"Post-op orthopédie : surveillance neurovasculaire (couleur, température, pouls distaux). Ischémie aiguë = urgence chirurgicale. Revoir : Complications vasculaires post-orthopédie. Revoir : Surveillance neurovasculaire."
36,Chirurgie orthopédique,ORT001,"Mme Bouchard, 68 ans, post-op PTH gauche (J0). Douleur importante, pâleur, pied froid, pouls pédieux absent.",3.0,Conséquence d’un retard d’intervention ?,Embolie pulmonaire,Perte du membre,Pneumonie,Hypoglycémie,B,Correct! Ischémie prolongée → nécrose.,"Post-op orthopédie : surveillance neurovasculaire (couleur, température, pouls distaux). Ischémie aiguë = urgence chirurgicale. Revoir : Complications vasculaires post-orthopédie. Revoir : Urgence vasculaire post-op."
