id,theme,scenario_id,scenario_text,question_number,question,option_a,option_b,option_c,option_d,correct_answer,feedback_correct,feedback_incorrect
14,Oncologie,ONC001,"M. Picard, 62 ans, chimio récente. Fièvre 38,6 °C, frissons, TA 110/70, FC 108, FR 22. Numération : neutrophiles 0,3 ×10⁹/L.",3.0,Antibiothérapie : quand débuter idéalement ?,Dès les résultats de cultures,Dans l’heure suivant l’évaluation,Le lendemain,Après 24 h d’observation,B,Correct! Initiation rapide <1 h recommandée.,Revoir : Recommandations neutropénie fébrile.
15,Soins palliatifs,PAL001,"M. Lapointe, 72 ans, cancer pulmonaire métastatique, dyspnée sévère et anxiété à domicile.",1.0,Intervention prioritaire ?,Bronchodilatateur,Morphine prescrite,Marche,Anxiolytique léger seul,B,Correct! Morphine diminue la perception de dyspnée.,Revoir : Dyspnée en soins palliatifs.
16,Soins palliatifs,PAL001,"M. Lapointe, 72 ans, cancer pulmonaire métastatique, dyspnée sévère et anxiété à domicile.",2.0,Explication à donner ?,La morphine aggrave la FR,La morphine réduit la sensation d’essoufflement,La morphine est uniquement antalgique,Jamais de morphine à domicile,B,Correct! Effet bénéfique sur la dyspnée.,Revoir : Opioïdes et dyspnée.
17,Soins palliatifs,PAL001,"M. Lapointe, 72 ans, cancer pulmonaire métastatique, dyspnée sévère et anxiété à domicile.",3.0,Intervention non pharmacologique utile ?,Ventilateur dirigé au visage,Isolement dans le noir,Restriction hydrique,Effort physique,A,Correct! L’air frais aide à la perception de la dyspnée.,Revoir : Mesures non pharmacologiques.
18,Médecine et chirurgie,SUR002,"Mme R., 53 ans, J0 post-op. Entrées 1800 mL (IV+PO). Sorties: urines 900 mL, drain 150 mL, pertes estimées 300 mL.",1.0,Bilan hydrique net (mL) ?,+450 mL,+600 mL,+750 mL,+900 mL,A,Correct! 1800 - (900+150+300) = +450 mL.,Revoir : Calcul de bilan I/E en post-op.
19,Gestion et organisation des soins,SUR002,"Mme R., 53 ans, J0 post-op. Entrées 1800 mL (IV+PO). Sorties: urines 900 mL, drain 150 mL, pertes estimées 300 mL.",2.0,Surveillance prioritaire les premières heures ?,Douleur chronique,Diurèse et signes d’hypoperfusion,Appétit,Couleur des ongles,B,Correct! Perfusion rénale et stabilité hémodynamique.,Revoir : Surveillance post-op immédiat.
20,Périnatalité,PER002,"Mme B., 34 SA, céphalées, phosphènes, TA 168/110, protéinurie +. Prescription : MgSO₄ 4 g/20 min puis 1 g/h.",1.0,Complication à prévenir en priorité ?,Hémorragie digestive,Éclampsie (convulsions),TVP,Hypoglycémie,B,Correct! Prévenir l’éclampsie est prioritaire.,Revoir : Prééclampsie/éclampsie – prévention.
21,Périnatalité,PER002,"Mme B., 34 SA, céphalées, phosphènes, TA 168/110, protéinurie +. Prescription : MgSO₄ 4 g/20 min puis 1 g/h.",2.0,MgSO₄ 20% (200 mg/mL) pour bolus 4 g/20 min. Débit mL/h ?,20 mL/h,40 mL/h,60 mL/h,120 mL/h,C,Correct! 4000/200=20 mL; 20/20 min = 1 mL/min = 60 mL/h.,Revoir : Calculs MgSO₄.
22,Périnatalité,PER002,"Mme B., 34 SA, céphalées, phosphènes, TA 168/110, protéinurie +. Prescription : MgSO₄ 4 g/20 min puis 1 g/h.",3.0,Surveillance prioritaire sous MgSO₄ ?,"Diurèse, ROT, FR",Glycémie,Température,Poids,A,Correct! Dépression respiratoire et toxicité requièrent ROT/FR/diurèse.,Revoir : Toxicité au MgSO₄ et antidote (gluconate Ca²⁺).
23,Santé mentale,PSY002,"M. T., 45 ans, tremblements, agitation, TA 160/96, sueurs 12 h après le dernier verre.",1.0,Outil de surveillance ?,Glasgow,CIWA-Ar,APGAR,Braden,B,Correct! CIWA-Ar pour sevrage alcoolique.,Revoir : Échelles de sevrage alcoolique.
24,Santé mentale,PSY002,"M. T., 45 ans, tremblements, agitation, TA 160/96, sueurs 12 h après le dernier verre.",2.0,Vitamine prioritaire à administrer ?,Vitamine C,Thiamine (B1),Vitamine D,Vitamine K,B,Correct! Prévention de l’encéphalopathie de Wernicke.,Revoir : B1 et complications neurologiques.
25,Santé mentale,PSY002,"M. T., 45 ans, tremblements, agitation, TA 160/96, sueurs 12 h après le dernier verre.",3.0,Signe de gravité nécessitant avis médical rapide ?,Larmoiement,Frissons,Crises convulsives,Rhinorrhée,C,Correct! Risque de delirium tremens.,Revoir : Complications du sevrage.
26,Santé mentale,PSY003,"M. V., 32 ans, agitation, idées délirantes, hallucinations auditives. Non coopérant, refuse le traitement. Aucun signe d’hypoglycémie ou hypoxie.",1.0,Intervention prioritaire ?,Contention immédiate sans évaluation,Assurer sécurité + approche calme + évaluation risque,Ignorer et quitter la chambre,Argumenter de force,B,Correct! Sécurité et désescalade d’abord.,Revoir : Psychose aiguë – approche sécuritaire.
27,Gestion et organisation des soins,PSY003,"M. V., 32 ans, agitation, idées délirantes, hallucinations auditives. Non coopérant, refuse le traitement. Aucun signe d’hypoglycémie ou hypoxie.",2.0,Organisation optimale ?,"Approche par un seul intervenant, corridor bondé","Minimiser stimuli, équipe prête et coordonnée",Famille nombreuse dans la chambre,Aucune préparation,B,"Correct! Réduire stimuli, coordonner l’équipe.",Revoir : Désescalade et environnement thérapeutique.
28,Pharmacologie / Calculs,URG005,"Patient 70 kg en choc septique, noradrénaline 0,2 mcg/kg/min prescrite. Préparation : 8 mg dans 100 mL (80 mcg/mL).",1.0,Quel débit mL/h ?,"6,3 mL/h","8,8 mL/h","10,5 mL/h","15,0 mL/h",C,"Correct! 0,2×70=14 mcg/min → ×60=840 mcg/h ; 840/80 = 10,5 mL/h.",Revoir : Conversion mcg/kg/min en mL/h selon concentration.
29,Obstétrique,PER003,"Mme Roy, 39 SA, travail actif : dilatation 6 cm, contractions q3 min, FCF 170 bpm. Température 38,2 °C.",1.0,Intervention prioritaire ?,Décubitus dorsal,Oxygène et monitorage continu FCF,Marche,Épidurale immédiate,B,Correct! Suspicion d’infection/soffrance → monitorage + O₂.,Revoir : Tachycardie fœtale – conduite.
30,Obstétrique,PER003,"Mme Roy, 39 SA, travail actif : dilatation 6 cm, contractions q3 min, FCF 170 bpm. Température 38,2 °C.",2.0,Donnée à recueillir en priorité ?,Température maternelle,Saignement,TA,Glucose,A,Correct! Fièvre maternelle = cause fréquente de tachycardie fœtale.,Revoir : Signes d’infection en travail.
31,Obstétrique,PER003,"Mme Roy, 39 SA, travail actif : dilatation 6 cm, contractions q3 min, FCF 170 bpm. Température 38,2 °C.",3.0,Mesure complémentaire pertinente ?,Antibiotiques selon protocole si chorioamniotite,Jeûne strict,Sortie à domicile,Tocolyse systématique,A,Correct! Suspicion chorioamniotite.,Revoir : Infections intra-utérines.
32,Chirurgie,SUR001,"Mme S., 44 ans, J1 post-op cholécystectomie laparoscopique, douleur 6/10, nausées. TA 128/74, FC 92, T 37,8 °C. Drain CH.",1.0,Surveillance prioritaire ?,Drain biliaire : quantité/couleur,Température horaire,Apports PO à volonté,Levée immédiate seule,A,Correct! Surveiller le drain pour complication biliaire.,Revoir : Soins post-op digestifs.
33,Chirurgie,SUR001,"Mme S., 44 ans, J1 post-op cholécystectomie laparoscopique, douleur 6/10, nausées. TA 128/74, FC 92, T 37,8 °C. Drain CH.",2.0,"Hydromorphone 1 mg IV, ampoule 2 mg/mL. Volume à administrer ?","0,25 mL","0,5 mL",1 mL,2 mL,B,"Correct! 1 ÷ 2 = 0,5 mL.",Revoir : Calcul de volumes pour opioïdes IV.
34,Chirurgie,SUR001,"Mme S., 44 ans, J1 post-op cholécystectomie laparoscopique, douleur 6/10, nausées. TA 128/74, FC 92, T 37,8 °C. Drain CH.",3.0,Signe nécessitant avis médical rapide ?,Douleur 4/10,Saignement léger sur pansement,Ictère et douleurs croissantes,Appétit diminué,C,Correct! Ictère + douleurs → obstruction/complication.,Revoir : Complications biliaires post-op.
35,Médecine et chirurgie,MED003,"M. G., 72 ans, warfarine; saignements gingivaux; INR 6,1. Hémodynamiquement stable.",1.0,Conduite prioritaire ?,Poursuivre AVK,Arrêt temporaire + vitamine K,Doubler la dose,Ne rien faire,B,Correct! Surdosage avec saignement.,Revoir : Gestion surdosage AVK.
36,Médecine et chirurgie,MED003,"M. G., 72 ans, warfarine; saignements gingivaux; INR 6,1. Hémodynamiquement stable.",2.0,Surveillance prioritaire ?,Sommeil,Appétit,Signes d’hémorragie,Douleur chronique,C,Correct! Risque d’hémorragie majeure.,Revoir : Surveillance anticoagulants.
37,Médecine et chirurgie,MED003,"M. G., 72 ans, warfarine; saignements gingivaux; INR 6,1. Hémodynamiquement stable.",3.0,Éducation ?,Augmenter aliments riches en vitamine K sans avis,Interaction avec antibiotiques et alcool,Arrêter définitivement l’AVK,Boire moins d’eau,B,Correct! Certaines interactions augmentent l’INR.,Revoir : Interactions AVK.
38,Cardiologie,CAR002,"Mme Bérubé, 71 ans, palpitations soudaines, étourdissements. TA 102/64 mmHg, FC 168/min irrégulière, FR 20/min, SpO₂ 95% AA. ECG: fibrillation auriculaire rapide.",1.0,Intervention infirmière prioritaire ?,Installer un O₂ à 6 L/min systématique,Évaluer stabilité hémodynamique et signes d’hypoperfusion,Faire boire de l’eau,Administrer un AINS,B,"Correct! Prioriser l’évaluation de stabilité (TA, état mental, douleur thoracique).",Revoir : FA – évaluation initiale et critères d’instabilité.
39,Cardiologie,CAR002,"Mme Bérubé, 71 ans, palpitations soudaines, étourdissements. TA 102/64 mmHg, FC 168/min irrégulière, FR 20/min, SpO₂ 95% AA. ECG: fibrillation auriculaire rapide.",2.0,Quel médicament est habituellement attendu pour ralentir la FC si stable ?,Bêtabloquant IV,Amoxicilline IV,Vitamine K PO,Morphine IV,A,Correct! Un bêtabloquant ou un inhibiteur calcique peut être utilisé.,Revoir : Contrôle de la fréquence en FA.
40,Cardiologie,CAR002,"Mme Bérubé, 71 ans, palpitations soudaines, étourdissements. TA 102/64 mmHg, FC 168/min irrégulière, FR 20/min, SpO₂ 95% AA. ECG: fibrillation auriculaire rapide.",3.0,Quel risque majeur doit être envisagé si FA >48 h non anticoagulée ?,Hypoglycémie,AVC embolique,Hyperkaliémie,Hémolyse,B,Correct! Le risque thromboembolique (AVC) augmente.,Revoir : CHA₂DS₂-VASc et risque d’AVC en FA.
41,Neurologie,NEU001,"M. Gendron, 66 ans, faiblesse hémicorporelle droite et dysarthrie depuis 70 minutes. TA 174/98, gly 6,2 mmol/L. Anticoagulants : aucun.",1.0,Action prioritaire ?,Scanner cérébral sans délai,IRM demain,Observation en salle d’attente,Administrer un laxatif,A,Correct! Imagerie urgente pour distinguer ischémie vs hémorragie.,Revoir : Fenêtre thérapeutique et imagerie en AVC.
42,Neurologie,NEU001,"M. Gendron, 66 ans, faiblesse hémicorporelle droite et dysarthrie depuis 70 minutes. TA 174/98, gly 6,2 mmol/L. Anticoagulants : aucun.",2.0,Message clé à la famille ?,Le temps n’est pas un facteur,Chaque minute compte pour le cerveau,Attendre 24 h n’est pas risqué,On verra selon la disponibilité,B,Correct! « Time is brain ».,Revoir : Urgence de la prise en charge en AVC.
43,Neurologie,NEU001,"M. Gendron, 66 ans, faiblesse hémicorporelle droite et dysarthrie depuis 70 minutes. TA 174/98, gly 6,2 mmol/L. Anticoagulants : aucun.",3.0,De quel effet indésirable doit-on s’assurer avant thrombolyse ?,Hypoglycémie sévère,Hémorragie intracrânienne,Douleur chronique,Insomnie,B,Correct! Une hémorragie intracrânienne est une contre-indication.,Revoir : Contre-indications de la thrombolyse.
44,Pédiatrie,PED001,"Garçon 5 ans, crise d’asthme : FR 36/min, tirage, sibilances, SpO₂ 89% AA. Traitement à domicile : salbutamol PRN.",1.0,Action prioritaire ?,Administrer salbutamol prescrit via chambre d’inhalation,Installer perfusion IV,Prendre TA d’abord,Sonde nasogastrique,A,Correct! Le bronchodilatateur rapide est prioritaire.,Revoir : Prise en charge d’une exacerbation d’asthme pédiatrique.
45,Pédiatrie,PED001,"Garçon 5 ans, crise d’asthme : FR 36/min, tirage, sibilances, SpO₂ 89% AA. Traitement à domicile : salbutamol PRN.",2.0,Signe d’aggravation urgente ?,Utilisation des muscles accessoires,Toux productive,"Fièvre 38,2 °C",Appétit diminué,A,Correct! Indique une détresse respiratoire sévère.,Revoir : Signes de gravité en asthme.
46,Pédiatrie,PED001,"Garçon 5 ans, crise d’asthme : FR 36/min, tirage, sibilances, SpO₂ 89% AA. Traitement à domicile : salbutamol PRN.",3.0,"Dose salbutamol 0,1 mg/kg par nébulisation; poids 18 kg. Dose totale ?","1,8 mg","2,5 mg","0,8 mg","3,6 mg",A,"Correct! 0,1 × 18 = 1,8 mg.",Revoir : Calculs de doses pédiatriques en mg/kg.
47,Pharmacologie / Calculs,PED005,"Fillette 6 ans, 20 kg, otite moyenne aiguë. Prescrire amoxicilline 45 mg/kg/jour en 2 prises.",1.0,Dose par prise (mg) ?,200 mg,450 mg,600 mg,900 mg,B,Correct! 45×20=900 mg/jour → 900/2 = 450 mg/prise.,Revoir : Calculs pédiatriques mg/kg/jour en prises fractionnées.
48,Cardiologie,CAR003,"M. Fortin, 76 ans, OAP aigu : dyspnée, orthopnée, crépitants bilatéraux, SpO₂ 84% AA, TA 168/96 mmHg, FC 118/min. ATCD : HTA, IC systolique.",1.0,Intervention immédiate prioritaire ?,Mettre en position de Trendelenburg,Oxygénothérapie haut débit et position Fowler,"Donner 1 L NaCl 0,9% en bolus",Administrer un AINS,B,Correct! Oxygénation et position assise améliorent l’échange gazeux.,Revoir : Priorités en OAP aigu.
49,Cardiologie,CAR003,"M. Fortin, 76 ans, OAP aigu : dyspnée, orthopnée, crépitants bilatéraux, SpO₂ 84% AA, TA 168/96 mmHg, FC 118/min. ATCD : HTA, IC systolique.",2.0,Une dose de furosémide 80 mg IV est prescrite. Ampoule 10 mg/mL. Quel volume ?,4 mL,6 mL,8 mL,10 mL,C,Correct! 80 ÷ 10 = 8 mL.,Revoir : Calcul de volume des diurétiques IV.
50,Cardiologie,CAR003,"M. Fortin, 76 ans, OAP aigu : dyspnée, orthopnée, crépitants bilatéraux, SpO₂ 84% AA, TA 168/96 mmHg, FC 118/min. ATCD : HTA, IC systolique.",3.0,Quel signe suggère une amélioration clinique ?,Augmentation des crépitants,SpO₂ 92% et diminution de la dyspnée,TA 90/50,FC 140/min,B,Correct! La remontée de la SpO₂ et la dyspnée moindre indiquent une amélioration.,Revoir : Indicateurs d’amélioration en IC/OAP.
51,Urgences / Soins critiques,URG003,"Jeune adulte, collision haute vélocité, TA 82/48, peau froide, confusion. Suspicion hémorragie interne.",1.0,Priorité selon ABC ?,Évaluation neuro d’abord,Assurer voie aérienne et oxygénation,Bilan douleur,Repas,B,Correct! A-B-C d’abord.,Revoir : Algorithme ABC du trauma.
52,Urgences / Soins critiques,URG003,"Jeune adulte, collision haute vélocité, TA 82/48, peau froide, confusion. Suspicion hémorragie interne.",2.0,Organisation soins ?,Attendre le médecin,Activer code trauma et assigner rôles,Envoyer seul en imagerie,Confier à un seul intervenant,B,Correct! Coordination rapide nécessaire.,Revoir : Protocoles trauma en équipe.
53,Urgences / Soins critiques,URG003,"Jeune adulte, collision haute vélocité, TA 82/48, peau froide, confusion. Suspicion hémorragie interne.",3.0,Indicateur d’hypoperfusion ?,25 mL/h,35 mL/h,50 mL/h,75 mL/h,B,"Correct! 0,5 × 70 = 35 mL/h.",Revoir : Seuils de diurèse en choc/IRA.
54,Respiratoire,RES001,"Mme Lavoie, 68 ans, MPOC stade III, dyspnée au repos, FR 28/min, SpO₂ 85% sous O₂ 2 L/min, TA 95/60, FC 112. Rx: salbutamol inh PRN, prednisone PO.",1.0,Intervention infirmière prioritaire ?,Augmenter immédiatement l’O₂ à 10 L/min,Oxygène titré et surveillance SpO₂/FR,Jeûne strict,Morphine IV,B,Correct! O₂ titré et surveillance évitent la rétention de CO₂.,Revoir : Stratégies d’oxygénation chez MPOC.
55,Respiratoire,RES001,"Mme Lavoie, 68 ans, MPOC stade III, dyspnée au repos, FR 28/min, SpO₂ 85% sous O₂ 2 L/min, TA 95/60, FC 112. Rx: salbutamol inh PRN, prednisone PO.",2.0,Éducation courte utile ?,Arrêter les bronchodilatateurs,Expiration lèvres pincées,Exercices intenses,Boire >4 L/jour,B,Correct! L’expiration lèvres pincées améliore la ventilation.,Revoir : Techniques respiratoires MPOC.
56,Respiratoire,RES001,"Mme Lavoie, 68 ans, MPOC stade III, dyspnée au repos, FR 28/min, SpO₂ 85% sous O₂ 2 L/min, TA 95/60, FC 112. Rx: salbutamol inh PRN, prednisone PO.",3.0,"Salbutamol nébulisé 2,5 mg/dose dans 3 mL. Combien de mL préparer ?","1,5 mL","2,5 mL",3 mL,5 mL,C,"Correct! L’ampoule fournit 2,5 mg en 3 mL.",Revoir : Préparation des nébulisations.
57,Urgences / Soins critiques,URG001,"Mme D., 64 ans, fièvre 39,2 °C, TA 86/54, FC 122, FR 26, lactate 4,2 mmol/L, confusion. Suspicion sepsis pulmonaire.",1.0,Intervention dans la première heure ?,Antibiothérapie IV à large spectre,Attendre cultures,Antipyrétique seul,Perfusion lente,A,Correct! L’antibiothérapie IV rapide réduit la mortalité.,Revoir : Sepsis – « golden hour ».
58,Urgences / Soins critiques,URG001,"Mme D., 64 ans, fièvre 39,2 °C, TA 86/54, FC 122, FR 26, lactate 4,2 mmol/L, confusion. Suspicion sepsis pulmonaire.",2.0,Bolus cristalloïdes recommandé (70 kg) ?,350 mL,1000 mL,2100 mL,5000 mL,C,Correct! 30 mL/kg ≈ 2100 mL.,Revoir : Réanimation volémique du sepsis.
59,Urgences / Soins critiques,URG001,"Mme D., 64 ans, fièvre 39,2 °C, TA 86/54, FC 122, FR 26, lactate 4,2 mmol/L, confusion. Suspicion sepsis pulmonaire.",3.0,"Noradrénaline 0,15 mcg/kg/min (70 kg). Préparation 4 mg/50 mL (80 mcg/mL). Débit mL/h ?","5,0 mL/h","7,9 mL/h","11,3 mL/h","1,3 mL/h",B,"Correct! 0,15×70=10,5 mcg/min; ×60=630 mcg/h; 630/80 ≈ 7,9 mL/h.",Revoir : Conversion mcg/kg/min → mL/h.
60,Gériatrie,GER002,"Mme Arsenault, 92 ans, alitée, IMC 17, incontinence; rougeur sacrée persistante (stade 1).",1.0,Prévention prioritaire ?,Massage vigoureux,Changement de position q2h,Restriction hydrique,Alcool sur la peau,B,Correct! Le repositionnement réduit la pression.,Revoir : Prévention des plaies de pression.
61,Gériatrie,GER002,"Mme Arsenault, 92 ans, alitée, IMC 17, incontinence; rougeur sacrée persistante (stade 1).",2.0,Outil d’évaluation du risque ?,EVA,Échelle de Braden,CHA₂DS₂-VASc,MMSE,B,Correct! Braden évalue le risque d’escarres.,Revoir : Outils de dépistage des plaies de pression.
62,Gériatrie,GER002,"Mme Arsenault, 92 ans, alitée, IMC 17, incontinence; rougeur sacrée persistante (stade 1).",3.0,Nutrition : quel apport est important ?,Protéines suffisantes,Sucres simples,Restriction hydrique,Zéro lipides,A,Correct! Un bon apport protéique favorise la cicatrisation.,Revoir : Nutrition et cicatrisation.
63,Santé communautaire / Santé publique,COM001,"Adolescent 16 ans, partenaires multiples, rapports non protégés; demande de dépistage ITSS. Asymptomatique.",1.0,Intervention la plus complète ?,Dépistage uniquement,Éducation + dépistage + condoms,Remettre une brochure,Reporter si asymptomatique,B,Correct! Approche intégrée prévention/dépistage.,Revoir : Prévention ITSS en clinique jeunesse.
64,Santé communautaire / Santé publique,COM001,"Adolescent 16 ans, partenaires multiples, rapports non protégés; demande de dépistage ITSS. Asymptomatique.",2.0,Confidentialité au Québec ?,Informer les parents automatiquement,Refuser soins,Respecter la confidentialité,Publier résultats,C,Correct! Confidentialité en santé sexuelle.,Revoir : Confidentialité/consentement mineurs (Québec).
65,Santé communautaire / Santé publique,COM001,"Adolescent 16 ans, partenaires multiples, rapports non protégés; demande de dépistage ITSS. Asymptomatique.",3.0,Vaccination pertinente à vérifier ?,BCG,Rougeole seule,VPH,Rage,C,Correct! Vaccin VPH recommandé à l’adolescence.,Revoir : Calendrier vaccinal VPH.
66,Médecine et chirurgie,MED005,"M. N., 62 ans, diabète mal contrôlé, ulcère plantaire infecté, HbA1c 9,2%. TA 128/76, T 38,2 °C.",1.0,Priorité de soins ?,Décharge (offloading) + soins de plaie + antibiothérapie,Marche intensive,Pansement sec uniquement,Automédication AINS,A,Correct! Approche combinée nécessaire.,Revoir : Plaies du pied diabétique – prise en charge.
67,Santé communautaire / Santé publique,MED005,"M. N., 62 ans, diabète mal contrôlé, ulcère plantaire infecté, HbA1c 9,2%. TA 128/76, T 38,2 °C.",2.0,Éducation essentielle ?,Arrêter inspection des pieds,"Inspection quotidienne, chaussage adapté, contrôle glycémique",Alcool sur plaie,Baignades prolongées,B,Correct! Prévenir récidive et aggravation.,Revoir : Prévention complications pied diabétique.
68,Médecine et chirurgie,MED001,"Mme Côté, 54 ans, fatigue, prise de poids, frilosité. TSH élevée, T4 libre basse.",1.0,Intervention éducative clé ?,Arrêter levothyroxine dès amélioration,Prendre levothyroxine le matin à jeun,Doubler dose si oubli,Prendre avec fer/calcium,B,Correct! Meilleure absorption à jeun.,Revoir : Éducation hypothyroïdie – levothyroxine.
69,Médecine et chirurgie,MED001,"Mme Côté, 54 ans, fatigue, prise de poids, frilosité. TSH élevée, T4 libre basse.",2.0,Signe de surdosage à surveiller ?,Bradycardie,"Insomnie, palpitations",Prise de poids,Frilosité accrue,B,Correct! Symptômes d’hyperthyroïdie.,Revoir : Surdosage en hormones thyroïdiennes.
70,Médecine et chirurgie,MED001,"Mme Côté, 54 ans, fatigue, prise de poids, frilosité. TSH élevée, T4 libre basse.",3.0,Temps avant réévaluation TSH ?,48 h,1 semaine,6–8 semaines,6 mois,C,Correct! Réévaluation après 6–8 semaines.,Revoir : Suivi biologique de l’hypothyroïdie.
71,Éthique et aspects légaux,ETH001,"Mme C., 16 ans, demande contraception sans informer ses parents; elle est orientée et comprend.",1.0,Conduite conforme ?,Exiger autorisation parentale,Refuser le service,Respecter la confidentialité et informer sur options,Appeler les parents,C,Correct! Confidentialité en santé sexuelle des mineures.,Revoir : Droits et confidentialité au Québec.
72,Éthique et aspects légaux,ETH001,"Mme C., 16 ans, demande contraception sans informer ses parents; elle est orientée et comprend.",2.0,Quel principe éthique soutient cette conduite ?,Bienfaisance,Justice,Autonomie,Non-malfaisance,C,Correct! Respect de l’autonomie décisionnelle.,Revoir : Principes bioéthiques appliqués.
