id,theme,scenario_id,scenario_text,question_number,question,option_a,option_b,option_c,option_d,correct_answer,feedback_correct,feedback_incorrect
204,Médecine-chirurgie,SCN004,Scénario clinique SCN004 : Cas typique lié au domaine Médecine-chirurgie. Patient avec situation nécessitant analyse et interventions infirmières.,2,Question 2 liée à SCN004 dans le domaine Médecine-chirurgie.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Médecine-chirurgie.
205,Médecine-chirurgie,SCN004,Scénario clinique SCN004 : Cas typique lié au domaine Médecine-chirurgie. Patient avec situation nécessitant analyse et interventions infirmières.,3,Question 3 liée à SCN004 dans le domaine Médecine-chirurgie.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Médecine-chirurgie.
206,Médecine-chirurgie,SCN005,Scénario clinique SCN005 : Cas typique lié au domaine Médecine-chirurgie. Patient avec situation nécessitant analyse et interventions infirmières.,1,Question 1 liée à SCN005 dans le domaine Médecine-chirurgie.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Médecine-chirurgie.
207,Médecine-chirurgie,SCN005,Scénario clinique SCN005 : Cas typique lié au domaine Médecine-chirurgie. Patient avec situation nécessitant analyse et interventions infirmières.,2,Question 2 liée à SCN005 dans le domaine Médecine-chirurgie.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Médecine-chirurgie.
208,Médecine-chirurgie,SCN005,Scénario clinique SCN005 : Cas typique lié au domaine Médecine-chirurgie. Patient avec situation nécessitant analyse et interventions infirmières.,3,Question 3 liée à SCN005 dans le domaine Médecine-chirurgie.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Médecine-chirurgie.
209,Médecine-chirurgie,SCN005,Scénario clinique SCN005 : Cas typique lié au domaine Médecine-chirurgie. Patient avec situation nécessitant analyse et interventions infirmières.,4,Question 4 liée à SCN005 dans le domaine Médecine-chirurgie.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Médecine-chirurgie.
210,Médecine-chirurgie,SCN006,Scénario clinique SCN006 : Cas typique lié au domaine Médecine-chirurgie. Patient avec situation nécessitant analyse et interventions infirmières.,1,Question 1 liée à SCN006 dans le domaine Médecine-chirurgie.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Médecine-chirurgie.
211,Médecine-chirurgie,SCN006,Scénario clinique SCN006 : Cas typique lié au domaine Médecine-chirurgie. Patient avec situation nécessitant analyse et interventions infirmières.,2,Question 2 liée à SCN006 dans le domaine Médecine-chirurgie.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Médecine-chirurgie.
212,Médecine-chirurgie,SCN006,Scénario clinique SCN006 : Cas typique lié au domaine Médecine-chirurgie. Patient avec situation nécessitant analyse et interventions infirmières.,3,Question 3 liée à SCN006 dans le domaine Médecine-chirurgie.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Médecine-chirurgie.
213,Soins critiques,SCN007,Scénario clinique SCN007 : Cas typique lié au domaine Soins critiques. Patient avec situation nécessitant analyse et interventions infirmières.,1,Question 1 liée à SCN007 dans le domaine Soins critiques.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Soins critiques.
214,Soins critiques,SCN007,Scénario clinique SCN007 : Cas typique lié au domaine Soins critiques. Patient avec situation nécessitant analyse et interventions infirmières.,2,Question 2 liée à SCN007 dans le domaine Soins critiques.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Soins critiques.
215,Soins critiques,SCN007,Scénario clinique SCN007 : Cas typique lié au domaine Soins critiques. Patient avec situation nécessitant analyse et interventions infirmières.,3,Question 3 liée à SCN007 dans le domaine Soins critiques.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Soins critiques.
216,Soins critiques,SCN007,Scénario clinique SCN007 : Cas typique lié au domaine Soins critiques. Patient avec situation nécessitant analyse et interventions infirmières.,4,Question 4 liée à SCN007 dans le domaine Soins critiques.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Soins critiques.
217,Soins critiques,SCN008,Scénario clinique SCN008 : Cas typique lié au domaine Soins critiques. Patient avec situation nécessitant analyse et interventions infirmières.,1,Question 1 liée à SCN008 dans le domaine Soins critiques.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Soins critiques.
218,Soins critiques,SCN008,Scénario clinique SCN008 : Cas typique lié au domaine Soins critiques. Patient avec situation nécessitant analyse et interventions infirmières.,2,Question 2 liée à SCN008 dans le domaine Soins critiques.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Soins critiques.
219,Soins critiques,SCN008,Scénario clinique SCN008 : Cas typique lié au domaine Soins critiques. Patient avec situation nécessitant analyse et interventions infirmières.,3,Question 3 liée à SCN008 dans le domaine Soins critiques.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Soins critiques.
220,Soins critiques,SCN009,Scénario clinique SCN009 : Cas typique lié au domaine Soins critiques. Patient avec situation nécessitant analyse et interventions infirmières.,1,Question 1 liée à SCN009 dans le domaine Soins critiques.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Soins critiques.
221,Soins critiques,SCN009,Scénario clinique SCN009 : Cas typique lié au domaine Soins critiques. Patient avec situation nécessitant analyse et interventions infirmières.,2,Question 2 liée à SCN009 dans le domaine Soins critiques.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Soins critiques.
222,Soins critiques,SCN009,Scénario clinique SCN009 : Cas typique lié au domaine Soins critiques. Patient avec situation nécessitant analyse et interventions infirmières.,3,Question 3 liée à SCN009 dans le domaine Soins critiques.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Soins critiques.
223,Soins critiques,SCN009,Scénario clinique SCN009 : Cas typique lié au domaine Soins critiques. Patient avec situation nécessitant analyse et interventions infirmières.,4,Question 4 liée à SCN009 dans le domaine Soins critiques.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Soins critiques.
224,Soins critiques,SCN010,Scénario clinique SCN010 : Cas typique lié au domaine Soins critiques. Patient avec situation nécessitant analyse et interventions infirmières.,1,Question 1 liée à SCN010 dans le domaine Soins critiques.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Soins critiques.
225,Soins critiques,SCN010,Scénario clinique SCN010 : Cas typique lié au domaine Soins critiques. Patient avec situation nécessitant analyse et interventions infirmières.,2,Question 2 liée à SCN010 dans le domaine Soins critiques.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Soins critiques.
226,Soins critiques,SCN010,Scénario clinique SCN010 : Cas typique lié au domaine Soins critiques. Patient avec situation nécessitant analyse et interventions infirmières.,3,Question 3 liée à SCN010 dans le domaine Soins critiques.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Soins critiques.
227,Périnatalité,SCN011,Scénario clinique SCN011 : Cas typique lié au domaine Périnatalité. Patient avec situation nécessitant analyse et interventions infirmières.,1,Question 1 liée à SCN011 dans le domaine Périnatalité.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Périnatalité.
228,Périnatalité,SCN011,Scénario clinique SCN011 : Cas typique lié au domaine Périnatalité. Patient avec situation nécessitant analyse et interventions infirmières.,2,Question 2 liée à SCN011 dans le domaine Périnatalité.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Périnatalité.
229,Périnatalité,SCN011,Scénario clinique SCN011 : Cas typique lié au domaine Périnatalité. Patient avec situation nécessitant analyse et interventions infirmières.,3,Question 3 liée à SCN011 dans le domaine Périnatalité.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Périnatalité.
230,Périnatalité,SCN011,Scénario clinique SCN011 : Cas typique lié au domaine Périnatalité. Patient avec situation nécessitant analyse et interventions infirmières.,4,Question 4 liée à SCN011 dans le domaine Périnatalité.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Périnatalité.
231,Périnatalité,SCN012,Scénario clinique SCN012 : Cas typique lié au domaine Périnatalité. Patient avec situation nécessitant analyse et interventions infirmières.,1,Question 1 liée à SCN012 dans le domaine Périnatalité.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Périnatalité.
232,Périnatalité,SCN012,Scénario clinique SCN012 : Cas typique lié au domaine Périnatalité. Patient avec situation nécessitant analyse et interventions infirmières.,2,Question 2 liée à SCN012 dans le domaine Périnatalité.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Périnatalité.
233,Périnatalité,SCN012,Scénario clinique SCN012 : Cas typique lié au domaine Périnatalité. Patient avec situation nécessitant analyse et interventions infirmières.,3,Question 3 liée à SCN012 dans le domaine Périnatalité.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Périnatalité.
234,Périnatalité,SCN013,Scénario clinique SCN013 : Cas typique lié au domaine Périnatalité. Patient avec situation nécessitant analyse et interventions infirmières.,1,Question 1 liée à SCN013 dans le domaine Périnatalité.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Périnatalité.
235,Périnatalité,SCN013,Scénario clinique SCN013 : Cas typique lié au domaine Périnatalité. Patient avec situation nécessitant analyse et interventions infirmières.,2,Question 2 liée à SCN013 dans le domaine Périnatalité.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Périnatalité.
236,Périnatalité,SCN013,Scénario clinique SCN013 : Cas typique lié au domaine Périnatalité. Patient avec situation nécessitant analyse et interventions infirmières.,3,Question 3 liée à SCN013 dans le domaine Périnatalité.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Périnatalité.
237,Périnatalité,SCN013,Scénario clinique SCN013 : Cas typique lié au domaine Périnatalité. Patient avec situation nécessitant analyse et interventions infirmières.,4,Question 4 liée à SCN013 dans le domaine Périnatalité.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Périnatalité.
238,Périnatalité,SCN014,Scénario clinique SCN014 : Cas typique lié au domaine Périnatalité. Patient avec situation nécessitant analyse et interventions infirmières.,1,Question 1 liée à SCN014 dans le domaine Périnatalité.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Périnatalité.
239,Périnatalité,SCN014,Scénario clinique SCN014 : Cas typique lié au domaine Périnatalité. Patient avec situation nécessitant analyse et interventions infirmières.,2,Question 2 liée à SCN014 dans le domaine Périnatalité.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Périnatalité.
240,Périnatalité,SCN014,Scénario clinique SCN014 : Cas typique lié au domaine Périnatalité. Patient avec situation nécessitant analyse et interventions infirmières.,3,Question 3 liée à SCN014 dans le domaine Périnatalité.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Périnatalité.
241,Pédiatrie,SCN015,Scénario clinique SCN015 : Cas typique lié au domaine Pédiatrie. Patient avec situation nécessitant analyse et interventions infirmières.,1,Question 1 liée à SCN015 dans le domaine Pédiatrie.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Pédiatrie.
242,Pédiatrie,SCN015,Scénario clinique SCN015 : Cas typique lié au domaine Pédiatrie. Patient avec situation nécessitant analyse et interventions infirmières.,2,Question 2 liée à SCN015 dans le domaine Pédiatrie.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Pédiatrie.
243,Pédiatrie,SCN015,Scénario clinique SCN015 : Cas typique lié au domaine Pédiatrie. Patient avec situation nécessitant analyse et interventions infirmières.,3,Question 3 liée à SCN015 dans le domaine Pédiatrie.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Pédiatrie.
244,Pédiatrie,SCN015,Scénario clinique SCN015 : Cas typique lié au domaine Pédiatrie. Patient avec situation nécessitant analyse et interventions infirmières.,4,Question 4 liée à SCN015 dans le domaine Pédiatrie.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Pédiatrie.
245,Pédiatrie,SCN016,Scénario clinique SCN016 : Cas typique lié au domaine Pédiatrie. Patient avec situation nécessitant analyse et interventions infirmières.,1,Question 1 liée à SCN016 dans le domaine Pédiatrie.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Pédiatrie.
246,Pédiatrie,SCN016,Scénario clinique SCN016 : Cas typique lié au domaine Pédiatrie. Patient avec situation nécessitant analyse et interventions infirmières.,2,Question 2 liée à SCN016 dans le domaine Pédiatrie.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Pédiatrie.
247,Pédiatrie,SCN016,Scénario clinique SCN016 : Cas typique lié au domaine Pédiatrie. Patient avec situation nécessitant analyse et interventions infirmières.,3,Question 3 liée à SCN016 dans le domaine Pédiatrie.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Pédiatrie.
248,Pédiatrie,SCN017,Scénario clinique SCN017 : Cas typique lié au domaine Pédiatrie. Patient avec situation nécessitant analyse et interventions infirmières.,1,Question 1 liée à SCN017 dans le domaine Pédiatrie.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Pédiatrie.
249,Pédiatrie,SCN017,Scénario clinique SCN017 : Cas typique lié au domaine Pédiatrie. Patient avec situation nécessitant analyse et interventions infirmières.,2,Question 2 liée à SCN017 dans le domaine Pédiatrie.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Pédiatrie.
250,Pédiatrie,SCN017,Scénario clinique SCN017 : Cas typique lié au domaine Pédiatrie. Patient avec situation nécessitant analyse et interventions infirmières.,3,Question 3 liée à SCN017 dans le domaine Pédiatrie.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Pédiatrie.
251,Pédiatrie,SCN017,Scénario clinique SCN017 : Cas typique lié au domaine Pédiatrie. Patient avec situation nécessitant analyse et interventions infirmières.,4,Question 4 liée à SCN017 dans le domaine Pédiatrie.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Pédiatrie.
252,Pédiatrie,SCN018,Scénario clinique SCN018 : Cas typique lié au domaine Pédiatrie. Patient avec situation nécessitant analyse et interventions infirmières.,1,Question 1 liée à SCN018 dans le domaine Pédiatrie.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Pédiatrie.
253,Pédiatrie,SCN018,Scénario clinique SCN018 : Cas typique lié au domaine Pédiatrie. Patient avec situation nécessitant analyse et interventions infirmières.,2,Question 2 liée à SCN018 dans le domaine Pédiatrie.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Pédiatrie.
254,Pédiatrie,SCN018,Scénario clinique SCN018 : Cas typique lié au domaine Pédiatrie. Patient avec situation nécessitant analyse et interventions infirmières.,3,Question 3 liée à SCN018 dans le domaine Pédiatrie.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Pédiatrie.
255,Santé mentale,SCN019,Scénario clinique SCN019 : Cas typique lié au domaine Santé mentale. Patient avec situation nécessitant analyse et interventions infirmières.,1,Question 1 liée à SCN019 dans le domaine Santé mentale.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Santé mentale.
256,Santé mentale,SCN019,Scénario clinique SCN019 : Cas typique lié au domaine Santé mentale. Patient avec situation nécessitant analyse et interventions infirmières.,2,Question 2 liée à SCN019 dans le domaine Santé mentale.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Santé mentale.
257,Santé mentale,SCN019,Scénario clinique SCN019 : Cas typique lié au domaine Santé mentale. Patient avec situation nécessitant analyse et interventions infirmières.,3,Question 3 liée à SCN019 dans le domaine Santé mentale.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Santé mentale.
258,Santé mentale,SCN019,Scénario clinique SCN019 : Cas typique lié au domaine Santé mentale. Patient avec situation nécessitant analyse et interventions infirmières.,4,Question 4 liée à SCN019 dans le domaine Santé mentale.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Santé mentale.
259,Santé mentale,SCN020,Scénario clinique SCN020 : Cas typique lié au domaine Santé mentale. Patient avec situation nécessitant analyse et interventions infirmières.,1,Question 1 liée à SCN020 dans le domaine Santé mentale.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Santé mentale.
260,Santé mentale,SCN020,Scénario clinique SCN020 : Cas typique lié au domaine Santé mentale. Patient avec situation nécessitant analyse et interventions infirmières.,2,Question 2 liée à SCN020 dans le domaine Santé mentale.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Santé mentale.
261,Santé mentale,SCN020,Scénario clinique SCN020 : Cas typique lié au domaine Santé mentale. Patient avec situation nécessitant analyse et interventions infirmières.,3,Question 3 liée à SCN020 dans le domaine Santé mentale.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Santé mentale.
262,Santé mentale,SCN021,Scénario clinique SCN021 : Cas typique lié au domaine Santé mentale. Patient avec situation nécessitant analyse et interventions infirmières.,1,Question 1 liée à SCN021 dans le domaine Santé mentale.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Santé mentale.
263,Santé mentale,SCN021,Scénario clinique SCN021 : Cas typique lié au domaine Santé mentale. Patient avec situation nécessitant analyse et interventions infirmières.,2,Question 2 liée à SCN021 dans le domaine Santé mentale.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Santé mentale.
264,Santé mentale,SCN021,Scénario clinique SCN021 : Cas typique lié au domaine Santé mentale. Patient avec situation nécessitant analyse et interventions infirmières.,3,Question 3 liée à SCN021 dans le domaine Santé mentale.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Santé mentale.
265,Santé mentale,SCN021,Scénario clinique SCN021 : Cas typique lié au domaine Santé mentale. Patient avec situation nécessitant analyse et interventions infirmières.,4,Question 4 liée à SCN021 dans le domaine Santé mentale.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Santé mentale.
266,Santé mentale,SCN022,Scénario clinique SCN022 : Cas typique lié au domaine Santé mentale. Patient avec situation nécessitant analyse et interventions infirmières.,1,Question 1 liée à SCN022 dans le domaine Santé mentale.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Santé mentale.
267,Santé mentale,SCN022,Scénario clinique SCN022 : Cas typique lié au domaine Santé mentale. Patient avec situation nécessitant analyse et interventions infirmières.,2,Question 2 liée à SCN022 dans le domaine Santé mentale.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Santé mentale.
268,Santé mentale,SCN022,Scénario clinique SCN022 : Cas typique lié au domaine Santé mentale. Patient avec situation nécessitant analyse et interventions infirmières.,3,Question 3 liée à SCN022 dans le domaine Santé mentale.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Santé mentale.
269,Gérontologie,SCN023,Scénario clinique SCN023 : Cas typique lié au domaine Gérontologie. Patient avec situation nécessitant analyse et interventions infirmières.,1,Question 1 liée à SCN023 dans le domaine Gérontologie.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Gérontologie.
270,Gérontologie,SCN023,Scénario clinique SCN023 : Cas typique lié au domaine Gérontologie. Patient avec situation nécessitant analyse et interventions infirmières.,2,Question 2 liée à SCN023 dans le domaine Gérontologie.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Gérontologie.
